编号,酒店名称,评论信息,备注,评论人,评论日期,评分,情感倾向
502,亚朵酒店,酒店前台态度冷淡，服务态度恶劣，一直在打电话，我每次问问题都要等5分钟才能说上话，绝绝子，这真的是亚朵吗？房间装修声音震天响，放炮都没这么响，太失望了。,,莹xx玉兰,2022-04-15,1,负向
503,亚朵酒店,服务不咋滴，房间设施老旧，性价比不高，还不如白金汉爵,,玉xx莹,2022-03-10,4,正向
504,亚朵酒店,"这应该是我住过最差的亚朵了，来南京旅行最差的酒店，服务员就跟欠它钱似的，态度很差。而且酒店本身送宵夜有泡面，最后没有也没个解释，还摆一个大臭脸。也不能送上门，但是我知道他们有那个机器人，用机器动一下就可以了，打电话态度也差，直接说送不了没有为什么。_x000D_
不是在乎两个泡面，而是这种说好的没有也就算了，还态度极差！再也不会住亚朵，失望",,淑英xx桂芳,2022-07-08,1,负向
505,亚朵酒店,"酒店的服务让我对亚朵这个品牌产生了强烈的怀疑。_x000D_
第一，停车场非常小，晚上过去时没法停车。而且附近都是小巷子，根本没有办法停车，停车作为最基本的需求，这一点真的是非常差。_x000D_
第二房间的USB不能正常工作，无法充电。",,冬梅xx楠,2022-11-06,1,负向
506,亚朵酒店,"首先，入住登记的时候，前台特别提示无法两间房安排在同一楼层，本来很正常的一件事，事后才反应过来，那是为了把不同楼层最烂的房型给我们，要不然我前脚投诉，后脚就提出可以给我换房间？为什么？。其次就是说说房间感受吧：_x000D_
1、实际房间与图片不符，窗户基本都在床边上。_x000D_
2、空调口正对着床头。_x000D_
3、提供的水杯是纸质一次性的，关键里面是赃的。_x000D_
4、台灯上面一层灰。_x000D_
5、房间隔音效果不好。_x000D_
非常不愉快的一次入住，也是我这么多年来，第一次给酒店差评。",,红xx桂兰,2022-04-07,1,负向
507,亚朵酒店,感觉像住在破烂堆里 进门一股说不上来的气味 水盆洗个手都会溅出来 体验感不是很好 浴袍枕头都被狗啃过一样的 刚开始一直以为浴袍是一次性的,,红梅xx宁,2022-11-23,1,负向
508,亚朵酒店,服务一般，工作人员见到也不会打招呼，卫生较差，被子枕头上面有头发，在酒店丢了东西也没人负责,,洁xx波,2022-03-06,1,负向
509,亚朵酒店,由于携程搞错了单子，把我要定的房间定成了标准房，和携程沟通的时候，是商家要说看下订单，我也没让你们参与。来房间看了后，态度极端恶劣，不听解释，那请问你来干嘛呢？问题我会和携程解释，这个酒店简直了，价格贵不说，地理位置也没有广告里说的那么方便！从此不会考虑,,阳xx冬梅,2022-10-29,1,负向
510,亚朵酒店,非常感谢小主的喜欢和分享，亚朵一直信奉邻里关系，朵儿们都是把客人当成自己的家人哦，因为选择，我们在这里相遇，因为信任，就此拉近了我们之间的距离！,,秀云xx岩,2022-06-11,5,正向
511,亚朵酒店,住过的亚朵里面最差的,,强xx兵,2022-11-03,1,负向
512,亚朵酒店,打扫房间更换完的 床单? 门口的保安服务也一级棒 说我的车经常来不知道是不是住店 跟我骂骂咧咧的 好像我是来伺候这大爷的 前台服务也超赞跟我叨叨半天一个化妆镜的事一人一个说法 处理半天处理不好 总跟我强调什么免费升级了房型我感觉真没必要 亚朵别的店这几天我也在住没出现过这种情况 这个店是服务最差 房型最烂 停车最不方便的一个店 以后不可能住这家店 前台服务我都给差评 ?,,志强xx秀珍,2022-04-19,1,负向
513,亚朵酒店,朋友来南京玩，服务态度不好，,,伟xx欢,2022-08-10,3,正向
514,亚朵酒店,酒店服务员，服务态度特别差，早餐也不行，就几样，跟别的亚朵酒店没有可比性，环境也没有别的亚朵酒店好，,,桂兰xx亮,2022-11-25,1,负向
515,亚朵酒店,房间太小了,,杨xx文,2022-07-07,1,负向
516,亚朵酒店,没想到现在亚朵的服务变得这么差了，晚上准备洗澡了竟然发现淋浴龙头没有热水而且水小得可怜，只能打电话给前台，回复说让人来看，结果过了20分钟没人来，其间打前台电话两次无人接听最后用手机拨打总机才找到人。来的人是客房服务，弄了半天说，他们说多放点时间会热的，我反问现在已经放了那么久了你觉得这种水能洗澡吗？接着客房服务再打电话给前台让他们自己来看，然后前台来敲门又要打开水看，我问他是质疑我对热水的判断呢还是觉得我在说谎？他才问我是不是帮我换个房间，然后下楼取钥匙，亚朵这种老楼改造电梯一贯是很慢的，总之我从打第一个电话到搬到正常房间历时40分钟，最最感人是，整个过程中没有一个工作人员对我说一句抱歉添麻烦了，意不意外惊不惊喜？,,莹xx帅,2022-02-18,1,负向
517,亚朵酒店,房间床单没有洗干净。卫生间里的化妆镜灯是坏的，跟前台反应，一位男前台说晚上修不好可以换一间房，晚上一位女前台又说那个灯任何房间都打不开，只是一个摆设，她已经在这个酒店工作很多年了，要听她的。到底谁说的话是真？其他店的都能打开，工作人员素质较差，众口不一。,,桂珍xx军,2022-01-01,1,负向
518,亚朵酒店,办理入住 服务态度不好 马桶没有电动装置 对比不如全季酒店,,勇xx桂芳,2022-01-19,1,负向
519,亚朵酒店,早餐很简单倒是味道不错的，比南京大牌档的部分菜品美味~房间设施有点简陋了，而且装修很粗糙，没有人性化的设计，桌子下方的楞，柜子上的楞都很锋利，碰脚很多次，卫生间的马桶冲水的时候会喷出来到腿上，这点也是无语了，还得盖上桶盖，从来没见过这么挫的马桶！减配也很严重，毛巾浴巾都是直接放在洗手台马桶上方，看着都不卫生！跟价位不匹配,,彬xx建平,2022-08-04,1,负向
520,亚朵酒店,"冲亚朵品牌而去，失望透顶！_x000D_
单人间，小到5-6平米左右，1米5的单人床，429的折后价，无早餐，健身房只有小小半间，设施与快捷酒店无异。_x000D_
不知道亚朵怎么这么自信？五星级酒店收费，1-2星级品质，第二天走的急，忘记拍照，入住酒店这么多年，感觉从来没有这么失望过……",,琳xx金凤,2022-03-08,1,负向
521,亚朵酒店,在南京入住最差的一次，还不如连锁酒店，一晚426价格也不便宜，房间真的只能放张大床，窗户挨着床头，房门挨着床尾，洗发水倒出来都是结块的，真不知道怎么评的四星,,杰xx梅,2022-12-05,1,负向
522,亚朵酒店,为什么差评，请问前台小姐姐，他们无所谓差评,,亮xx秀英,2022-11-15,1,负向
523,亚朵酒店,体验很不好，电梯故障，服务态度不好,,云xx佳,2022-06-20,1,负向
524,亚朵酒店,房间有股异味，阴暗，住过这么多次亚朵，这个环境应该算比较差的了。不晓得是南京的天气不好还是房间的问题，感觉头痛。服务还可以。,,斌xx健,2022-02-24,1,负向
525,亚朵酒店,挺差的……,,瑜xx娜,2022-07-14,2,负向
526,亚朵酒店,酒店设施老旧，一进屋地上都是黏黏的，屋里烟味很重，卫生间的排风扇和灯的开关是连在一起的，一开灯排风扇就响，一开排风扇屋里烟味更重了，屋里没有小夜灯，晚上漆黑一片，哄娃睡觉时娃都不乐意，夜里起来想上卫生间，一开卫生间灯屋里很亮，因为卫生间是磨砂玻璃的，再加上排风扇声音，很影响睡眠，早餐也很一般，种类少且味道不好，住了好几个地方的亚朵，这家真的很失望,,磊xx想,2022-12-29,1,负向
527,亚朵酒店,"房间太吵，无法安睡。_x000D_
洗手间的电开关是坏的，无法正常关闭照明灯和排风扇。_x000D_
服务人员的服务意识比较差。",,婷婷xx龙,2022-02-14,1,负向
528,亚朵酒店,空调对着床吹、人都感冒了,,鹏xx洁,2022-05-22,1,负向
529,亚朵酒店,这个价位，环境和服务都不匹配。不会再住了。,,峰xx文,2022-05-10,2,中性
530,亚朵酒店,环境老旧、卫生较差,,玲xx英,2022-07-29,1,负向
531,亚朵酒店,服务一般，早餐差,,琳xx淑兰,2022-11-15,1,负向
532,亚朵酒店,服务一般般,,秀华xx淑珍,2022-11-01,2,中性
533,亚朵酒店,"一开始觉得这个酒店位置还不错，住了以后才发现预期的下限可以这么低。环境差，被子褶皱，窗户不通户外，地毯脏，有味道。小就小点，1000+的价格真的让人对服务有些担心。早上起来着急出发，打电话三次催一个剃须刀，完全叫不应，到了大厅，我说要投诉他们，结果没人搭理，仿佛这个世界再怎么纷纷扰扰，酒店依旧岿然不倒，让我想起一句话，你如果跟谁有仇，千万推荐他来这家酒店，看着他懊恼又难受的表情，会让你有种大仇得报的感觉。_x000D_
服务：差到吉尼斯倒数第一_x000D_
设施：防火门全是垃圾_x000D_
环境：差，有味道，被子褶皱_x000D_
卫生：一言难尽，保洁好像是最高领导，看看地毯，盥洗池就知道了",,欣xx莹,2022-09-19,1,负向
534,亚朵酒店,一般吧，订的时候显示有窗户，结果窗户就是个摆设，和图片格局不一样，房间也没有个桌子，很挤很难受，想续住，结果一天一个价,,玲xx龙,2022-08-04,1,负向
535,亚朵酒店,该酒店存屋内噪音大，整夜都有管道漏水声，无法入睡，室内脏乱，卫生间马桶巨脏，上个住户使用后未清理；床头一层灰尘；卫生间换气被关，整个屋子全是烟味。而且存在重大消防安全隐患，前台让把行李箱放进消防变电室内，那个屋子都是变压器、缠绕的电线，一旦有易燃物品发生火灾后果不堪设想。,,秀珍xx鹏,2022-05-23,1,负向
536,亚朵酒店,酒店里面墙纸脱落，卫生堪忧。携程显示下午2点退房，中午12点午睡时被前台电话质问什么时候离开。告知2点退房被质问谁告诉我的。发票只能开电子票，并且邮箱都不愿意发，只能现场手机弄。这个价格服务完全不值得,,龙xx海燕,2022-02-15,1,负向
537,亚朵酒店,"设施：很基本的设施，wifi 也是有的，交通确实便利，但性价比不高_x000D_
_x000D_
卫生：大家看图吧，真的不敢细看_x000D_
环境：隔音效果很差，大半夜还有人门开进开出",,秀兰xx淑兰,2022-03-21,5,正向
538,亚朵酒店,被子掀开竟然里面有蜘蛛，房间特别脏，每日打扫也极其糊弄,,志强xx倩,2022-10-11,1,负向
539,亚朵酒店,进屋之后地上有没打扫干净的头发，房间里一股潮味，坐便和淋浴间和床之间半透明的帘子就离谱，看别人拉屎是什么情趣吗？前台登记的服务态度也挺烂的，不会再订这里了,,洋xx佳,2022-10-16,1,负向
540,亚朵酒店,"奉劝大家不要住，非常差劲。旅行一个月，住过十多个酒店，最差的一个没有之一。_x000D_
        首先办理入住前问过前台洗衣机烘干机是否可以使用，前台说是洗烘一体机可以使用，然而在我们洗完衣服，烘干衣服，发现衣服烘不干还是湿的时候，打电话咨询前台进行第一次沟通，听我们说完情况后前台说酒店洗衣机不能使用，早上前台因为是新来的不知道。之后进行第二次沟通，换了一种说法说我们酒店洗烘一体机并没有坏，烘干只能烘成六成干，不好意思没见过烘干两个小时烘完的衣服仍然湿漉漉的。酒店前后说法不一致，前言不搭后语。后续前台跟我们说想办法把衣服烘干，办法是将衣服再次放到坏的烘干机里烘一遍。因为这个烘干衣服我们从中午一直等到晚上八点，体验感非常差。_x000D_
       其次酒店房间非常热，白天在酒店开空调需要开冷风，然而，到了晚上酒店空调调不了冷风，只有换气和热风两种模式，凌晨两点被热醒，咨询前台说是酒店使用中央空调只能供暖，不能制冷，询问白天为什么有冷风，答：白天系统出现了bug所以可以开冷风，解决方法关空调开窗。这不离谱吗？_x000D_
        最后关于地理位置，酒店名叫做外套大悦城，距离外滩大概2到3公里，地铁需要换乘2个，做2站。",,欢xx婷,2022-05-27,1,负向
541,亚朵酒店,高级大床房巨小，然后隔音巨差，床在窗子边，晚上车和人的声音吵死了，10平米左右，酒店走廊阴森的我以为进了xx，电梯也很破旧，房间里还有蜘蛛网，一晚上400就给我住这个啊，前台服务不错，唯一好处就是离南京路近点，但真不如少花100住个高档点的，然后花30打车，不猎奇不推荐入住，真痛苦,,磊xx文,2022-05-25,1,负向
542,亚朵酒店,隔音效果差，走动声音，隔壁说话声音听得见，有流水声和热水器启动的声音，电视指示灯也很亮，总体体验没有静安寺那边的citigo要好，墙纸也发霉 旧旧的，也没有浴室也大量发锈的污渍,,云xx桂芝,2022-08-21,1,负向
543,亚朵酒店,双床房很舒服，房间的设计很喜欢，虽然房间靠马路边，但是一点都不吵，隔音很好，前台小姐姐很好，中间沟通换房，安排的很到位，电视机不会使用，小哥哥也很热情到房间来帮忙调试，充电器找不到了，打扫卫生的大姐下班了又跑回来帮我翻换掉的床单被套，虽然小插曲很多，但是房间住得很舒服。酒店位置也很不错，地铁口几百米，旁边大悦城和万象，吃喝很方便，离南京路也很近(^.^)非常好的一次体验。,,欣xx淑珍,2022-08-08,4,正向
544,亚朵酒店,"一开始觉得这个酒店位置还不错，住了以后才发现预期的下限可以这么低。环境差，被子褶皱，窗户不通户外，地毯脏，有味道。小就小点，1000+的价格真的让人对服务有些担心。早上起来着急出发，打电话三次催一个剃须刀，完全叫不应，到了大厅，我说要投诉他们，结果没人搭理，仿佛这个世界再怎么纷纷扰扰，酒店依旧岿然不倒，让我想起一句话，你如果跟谁有仇，千万推荐他来这家酒店，看着他懊恼又难受的表情，会让你有种大仇得报的感觉。_x000D_
服务：差到吉尼斯倒数第一_x000D_
设施：防火门全是垃圾_x000D_
环境：差，有味道，被子褶皱_x000D_
卫生：一言难尽，保洁好像是最高领导，看看地毯，盥洗池就知道了",,晨xx红梅,2022-07-24,1,负向
545,亚朵酒店,房间小小的但是超有安全感哈哈哈哈～麻雀虽小，五脏俱全，设施什么的都不错，挺新的，床品也很舒服，服务热情周到，出差基本都会住这个品牌(?????)? ??,,淑兰xx建,2022-07-27,5,正向
546,亚朵酒店,挺好的，在苏州河边上，现在的苏州河不臭，沿河逛逛好舒服。房子外墙是红砖的样子，很有年代特色。里面的设施新。旁边就有个中国共产党三大以后的办公地点，目前搞了一个纪念馆，不收费，预约就可以参观。一公里内，还有一个最著名的抗日战争纪念馆，四行仓库，八百壮士与日寇激战之地。,,波xx秀珍,2022-12-04,4,正向
547,亚朵酒店,"设施：不错，智能便捷hhhhhhhhhhh_x000D_
卫生：保洁尽心尽职哈哈哈哈哈哈哈哈_x000D_
环境：方便寻找_x000D_
服务：即便机器人坏了，前台也24h送外卖上楼",,燕xx楠,2022-10-09,5,正向
548,亚朵酒店,给爸妈订的房间，五一酒店都溢价，价格方面不说了。卫生方面，卫生间挺干净，沙发、桌子及遥控如图，看起来很脏。面积偏小，二十几平。酒店后面有一个大悦城，吃饭挺方便，综合评价一般。,,小红xx兰英,2022-09-01,1,负向
549,亚朵酒店,可以的 进去了感觉毕竟高级 房间也很温馨 酒店设施主要有个洗衣机但没有烘干机 不过可以让工作人员帮忙晒干  服务到位,,桂珍xx慧,2022-07-05,1,负向
550,亚朵酒店,房间小而精致，各种设施齐全，关键是地理位置方便。地铁口啊，大悦城啊就在附近，到南京路步行街也没多少距离。前台小哥哥小姐姐人很好，还帮我免费升级了房间！赞一个！,,红xx桂香,2022-11-07,5,正向
551,亚朵酒店,一般吧，订的时候显示有窗户，结果窗户就是个摆设，和图片格局不一样，房间也没有个桌子，很挤很难受，想续住，结果一天一个价,,俊xx淑珍,2022-11-20,1,负向
552,亚朵酒店,太棒了位置就在万象天地门口，外滩周围走路骑车就可以逛周围一圈。晚上去喝酒也方便，主打一个干净方便安静,,燕xx龙,2022-10-01,5,正向
553,亚朵酒店,真的很糟糕的体验，真的太吵了，晚上走廊里聊天聊到1点，根本没法睡，早上两个保洁阿姨6点多在你房门口聊天一个小时，生生吵醒你，这两天精神搞得太差了,,彬xx倩,2022-06-25,1,负向
554,亚朵酒店,住过最垃圾的酒店，房间闷的要死，想开个冷空调也没用，一开始去窗户都没有，和前台商量还说本来就是这样。说了好久才换了个。环境也是差。跟一两百块的宾馆差不多。,,龙xx利,2022-09-24,1,负向
555,亚朵酒店,"没有衣架挂衣服的地方就是木头棍，房间偏小，卫生间小，电视是坏的，没法投屏……吐槽一堆_x000D_
_x000D_
设施：都很小_x000D_
_x000D_
环境：一般，隔音差，很吵",,荣xx林,2022-12-27,1,负向
556,亚朵酒店,体验非常差，传单下面全是白色的小虫子，最关键的是不能开发票，由携程旅行网开一个代理费的票，根本报不了,,芳xx娜,2022-06-19,1,负向
557,亚朵酒店,卫生炒鸡差，桌子 床头 布满灰尘。厕所反味，熏的睡不好，让人犯呕。没有一点让人满意，失望透顶,,云xx帆,2022-12-27,1,负向
558,亚朵酒店,"卫生：差 极差 进房都感觉不出有打扫过的痕迹_x000D_
环境：差 根本不维护设备",,利xx秀华,2022-07-25,1,负向
559,亚朵酒店,很垃圾的一家酒店，大冬天房间像蒸桑拿，完全不配这个价格。前台拽的要死，脸臭的我以为我去机关办事呢,,晨xx杨,2022-08-23,1,负向
560,亚朵酒店,酒店只是虚头，骗外地人，连出租车司机都找不到，房间矮，小，压抑。性价比太低,,桂英xx瑜,2022-11-04,1,负向
561,亚朵酒店,太差了，入住时前台两位服务员还说一些PUA的话，着实让人恶心,,秀荣xx淑兰,2022-10-13,1,负向
562,亚朵酒店,"房间布局不合理 像住集体宿舍一样_x000D_
早餐也没有 下次不会住了",,芳xx婷,2022-04-12,2,负向
563,亚朵酒店,有升房卷，没给我升级，算了没事，房间与宣传照片不符，小的可怜，床头边上是马桶，对着马桶睡了一夜，好歹有个帘子行不行？实际测量房间大小为10平方米，入住的时候前台和我说，白天隔壁施工有噪音，晚上会很安静，好家伙，一晚上，整整一晚上，我就觉得电梯在我脑门边上运行了一夜！！！,,柳xx勇,2022-02-25,1,负向
564,亚朵酒店,洗漱台卫生很差，房间很小，住过最差的酒店,,帆xx成,2022-11-25,1,负向
565,亚朵酒店,房间小没窗户，卫生间没私密性。位置还不错,,彬xx丹,2022-05-01,1,负向
566,亚朵酒店,出行非常方便，出门就是地铁站。酒店比较老，设施陈旧。其余还好,,旭xx倩,2022-04-07,3,正向
567,亚朵酒店,蚊子太多，晚上耳朵边都是蚊子声，叮了好多口,,娟xx建华,2022-09-06,1,负向
568,亚朵酒店,房间超级小  设施老旧 房间还有烟味,,玉珍xx丽娟,2022-07-25,1,负向
569,亚朵酒店,房卡不好用 做了好几次还是不好用 房间隔音太差,,秀云xx桂芳,2022-02-28,1,负向
570,亚朵酒店,"房间较小，晚上睡觉太闷了。_x000D_
热得一晚没睡。",,旭xx瑞,2022-01-21,1,负向
571,亚朵酒店,隔音差，半夜隔壁有人一直大喊大叫,,玉xx荣,2022-04-05,1,负向
572,亚朵酒店,隔音太差，豪华房间太小，携程房间照片跟实际房间相差大，窗户太小，服务不好，早上要个洗漱用品就一个，说剩下的一会送来，半个小时也没人送，那有那么多时间等，送餐机器人晚上也不安排送,,宇xx桂兰,2022-09-20,1,负向
573,亚朵酒店,房间香味太重，听得到地铁声！,,雷xx超,2022-09-18,3,正向
574,亚朵酒店,太脏了，房间很重厕所味。,,佳xx飞,2022-05-03,1,负向
575,亚朵酒店,上海前几天下雨，这几天晚上室外气温15度，中央空调只能吹冷气，不开空调就冻着，开空调就更冻着，说是有的客人嫌热，搞不搞笑？我就想问热为什么要开热风？你开窗户或者换气就可以了！然后要不我加个被，你冬天加几个被在外面就可以睡了吗？所以我就只能在这冻着睡？,,欢xx雪,2022-07-19,1,负向
576,亚朵酒店,"以前一直对欢阁印象挺好的，没想到这家店让我对品牌大失所望，最后还是携程客服体现出专业，为我考虑_x000D_
1.我开车到酒店门口遇到停车场不让进问题，问了一声保安亭里的保安，他打开窗户说了一句什么没听清楚，就关窗继续玩游戏，我在喊他也不理我，我等在入口处30分钟，他也没出来和我交流_x000D_
2.我电话给酒店前台，前台可能挺忙的，随便和我说几句后，说停车场是物业的，不归他们管，说去和物业沟通，然后就不管我了_x000D_
最终我在门口等了30分钟，晚上11点10分开始等到40分，我给携程客服电话，客服帮我去联系并且承诺我10分钟内给我反馈，很准时的帮我处理问题_x000D_
3.酒店出来一个工作人员，和我说需要绕路进停车场_x000D_
4.酒店员工提出补偿我的方案，一开始说帮我免费升级房型和送我早餐，可我买的订单内已经包含，于是说那帮我免费付停车费，这个酒店的停车是要客人自己付费，每天20元1次机会（20元住客自己付，酒店承担其余150多元费用，因为停车场不是他们的），我也是第一次遇到住酒店需要另外支付停车费的，而且20元这个还就一天一次，就是说你一天里第二次开车进出酒店，第二次就没有酒店补贴，你该出多少停车费，你就要自己全额付_x000D_
所以酒店最终给我的补偿就是20元停车费，携程客服为了表达对我的理解，还返现我100元的补偿，欢阁就只能这样，有史以来最差的一次体验",,金凤xx博,2022-07-16,1,负向
577,亚朵酒店,"一般都是系统默认好评的人，从来没有这么用心写过这么长的评论，还是差评的！！！！就想劝解一下诸位不要被照骗。这么高的评分绝对是刷的！同时希望酒店管理层重视赶紧挽救你们的服务。体验太差。_x000D_
_x000D_
住过两次深圳的南山CITIGO，无论是环境、设施还是服务都非常满意，因此在上海选择citigo时并没有犹豫，结果被狠狠打脸，没想到同是大城市同一品牌，结果无论是设施还是服务都天差地别。_x000D_
_x000D_
首先是服务：晚上十一点多到底服务台就看到一群入住客人围在前台，大家都因房间没有妥善安排甚至自己订的房型没房间了而抱怨，有换房的客户还是下午就到店提前预约过的，酒店说房间还没打扫好，结果到了晚上就说没房间了。前台小哥只知道推脱说是白天的前台没有安排好，把锅都甩给了自己，他也没办法，根本没有维护酒店形象、尝试努力解决问题的积极度，说明酒店无论在员工选择还是培训上都没有跟上。服务槽点后续还有。_x000D_
_x000D_
其次是设施：前厅很局促与深圳南山开阔空间不同，也没有休闲酒吧区，这个可以理解为场地限制，也可以说是前期提出设计要求时根本没有把这个功能需求考虑进去。这没什么，结果在满心期待等了快二十分钟终于拿到房卡到达自己房间时，我惊呆了！！！住了二十年各种酒店，头一次遇到房间这么小这么小的，窄到不能再窄。床前得侧身贴墙才能过身，淋浴房就半个浴缸大小，挪不开身，介绍图片就是个照骗。可以想到当初设计时为了能塞下更多房间，策划者是多么用心。_x000D_
_x000D_
这还不算什么，房间居然电视机安装位置还是空的！！！打电话去前台说不好意思忘了提前跟我说电视机坏了去修了，补充我送餐券，我本来就订的带早餐根本没用。等了半个多小时后催，回答经理说第二天给我们房间升级，我住一晚的哪来第二天？又等了半小时催，说降价，问降多少又不知道，再等了半小时多，都临晨一点多了。我们都困的不行等不了想洗漱睡了，姗姗来迟的打了电话过来说帮我们从其他地方搬个电视过来。那一早不知道就用这个方案吗？解决一个问题要花一个半小时，我也真的是无语。_x000D_
就这种环境和服务还收五百的房价，不知道哪来的脸，这家酒店直接黑名单。",,建华xx涛,2022-04-19,1,负向
578,亚朵酒店,"进门就看到洗手间地板上一坨头发；夜里一点多回到酒店，相连的几个房门口好几台保洁清扫车在那儿摆着；早上七点钟，一群保洁开始叽叽喳喳高声闲聊；房间隔音差得简直要了亲命了，说什么干什么听得一清二楚…_x000D_
_x000D_
打前台反馈也没什么用，前台只会说抱歉然而状况没有任何改善。check out的时候再跟你说，下次来入住给升房型……excuse me还有下次？",,杨xx楠,2022-03-20,1,负向
579,亚朵酒店,大堂都没有空调，办理入住时候体感就很不舒服，然后入住后电话也是坏的，电视网络连接也很慢，不能投屏，房间也根本没有描述的20平方，晚上睡觉的时候外面也在装修修马路，早上四五点又开始装修修马路，吵得睡不着。总之是比较差的一次入住体验了,,敏xx宁,2022-08-26,1,负向
580,亚朵酒店,酒店是挺好的 前台人有问题的 说话两面派 服务是真不怎么样 或许她们不明白自己只是前台 也许是富二代出来体验生活 哈哈 你觉得自己是吗？,,慧xx平,2022-12-15,3,正向
581,亚朵酒店,这种品牌酒店豪华房居然小到没地方挂浴巾，连洗漱盆都是和床一个屋子，连个隔断都没有，离床的距离不到5步的位置。浴巾也没地方挂。前台态度特别差，花钱受罪。,,秀梅xx建军,2022-06-03,1,负向
582,亚朵酒店,"糟糕非常差劲避雷 千万别住……………………_x000D_
_x000D_
房间小。zzzz…………………………………………………………",,娟xx秀梅,2022-06-23,1,负向
583,亚朵酒店,很多灰尘，位置不好做车,,宁xx建平,2022-11-19,1,负向
584,亚朵酒店,建议有呼吸需求的朋友们还是不要预订内窗房了 真的很闷兄弟们！大虫虫就不说了 我们下次一定不再贪便宜了呜呜呜呜呜呜呜呜呜,,莉xx东,2022-06-14,1,负向
585,亚朵酒店,房间小，同价位全季会好点，二楼大厅很吵，房间隔音不好，续住打扫换的浴巾竟然有血迹，这个是真的受不了……,,华xx帆,2022-11-12,1,负向
586,亚朵酒店,感觉对不起这个价格，而且前台也不事先告知早餐要额外收费，加了几十块钱升级了豪华房跟普通的也没什区别,,丹丹xx晶,2022-09-30,1,负向
587,亚朵酒店,小朋友手被划伤了受伤了，在餐厅的柱头上的不锈钢边割伤了，包边很锋利，虽然帮忙一起清洗伤口，但是从头到尾没有一句致歉！！！！,,峰xx萍,2022-02-26,1,负向
588,亚朵酒店,"太闷了 不太通风 房间&走廊都有味道_x000D_
上海很大有很多酒店 绝对不会选择这间",,兰英xx建军,2022-12-10,1,负向
589,亚朵酒店,第二次入住，上次发现的问题，这次更严重，卫生真的不行，房间味道很大，第一间房直接把我熏到干呕（隔着口罩），换了一间还是有味道但真的累了，不想爬楼梯换房（电梯坏了），一晚上开窗过的，早上很冷但总比被臭味呛好。床边的小饼干居然被吃过，其中一个枕头有廉价的香水味，估计有人睡过又换房间了。厕所马桶坐垫上又双叒叕有尿渍，手机拍不出来，里圈有shi。难道是我要求太高了？？反正不会再住第三次了。,,瑜xx莹,2022-06-20,1,负向
590,亚朵酒店,环境服务都不好,,慧xx刚,2022-05-18,1,负向
591,亚朵酒店,"啊，真的不想再来第二次了_x000D_
虽然位置不错，就在大悦城对面_x000D_
但是设施真的太垃圾了_x000D_
房间极其小，小到一张凳子都没有_x000D_
卫生间就像一个笼子，小到转个身就会碰壁，毛巾和换洗衣服只能放在外面的洗手台上，但是洗完澡出来穿只能拉上一个若有似无的纱帘，走光是分分钟，要是跟不熟的朋友或者异性朋友同住，简直尴尬到奶奶家了，更不用说可能会诱导一些不应该发生的事情！_x000D_
内窗，隔音极差，隔壁的动静一清二楚，练手机震动都可以听到！_x000D_
头顶墙上类似上海话角，写满上海话的拼音，睡不着看到可能会xxxx！_x000D_
这些也就算了，最过分是空调晚上会自己关掉！被热醒，发现空调停了，再次打开，20度冷风竟然没有走道凉快，整个房间闷热逼仄_x000D_
_x000D_
最差的入住体验，招待所的等级吧，太难了",,燕xx秀荣,2022-08-25,1,负向
592,亚朵酒店,真的是住过最差的欢阁了 酒店大厅非常非常小 也没有介绍里说的喝东西的地方 免费宵夜都没有 房间本来就小 就为了酒店的其他设施去的 结果什么都没有 体验极差 本以为citygo的水准应该差不多的 完全没有在北京的体验好 非常压抑 总之再也不住这家店了,,桂芳xx玉华,2022-05-06,1,负向
593,亚朵酒店,本来是很满意的，结果因为入住一晚，把千里迢迢，给孩子带睡觉盖的，白色纱布橘色图案的小毯子丢了，酒店说找不到了，收拾客房的时候看不到么？从晚上九点发现多次致电，一直到十一点，沟通还是找不到，真失望。,,飞xx俊,2022-11-18,1,负向
594,亚朵酒店,房间真的很小 卫生间和淋浴间用起来很不方便 空间小 室内也没有空气净化的装置 服务台小哥服务态度真的很一般，有一位小姐姐很好 个人选择 下次应该不会选择这类型酒店了 窗户旁边风真的很大 晚上睡觉的时候,,超xx建华,2022-11-08,4,正向
595,亚朵酒店,很抱歉让你入住期间有不愉快的体验。在上海市中心寸土寸金的地方，我们努力在力所能及的范围内给你最好的入住体验，酒店房间虽小，五脏俱全，房间内所有物品全都是经过精挑细选的好物哦，希望你可以住的舒适，用的安心。我们酒店对于服务很看重，对于你所说的态度一般，方便形容一下小哥及事情经过吗？我们也好进行针对性的培训，避免再次出现这种情况，再次抱歉，祝你生活愉快,,淑华xx浩,2022-07-13,2,中性
596,亚朵酒店,楼层充满了下水道的味道飘进房间里。槽点太多。一句话说就是：标四星?比三星还差。,,燕xx丽丽,2022-05-06,1,负向
597,亚朵酒店,房间灰很多,,峰xx丹,2022-01-30,1,负向
